"element_name","kind","external_table","description"
"report_id","varchar (pk)","","Unique ID for report (unique ID given by combination of report_id and observation_id)"
"region","int",":doc:`region:region</tables/code_tables/region/region>`","Region (WMO region / Ocean basin)"
"sub_region","int",":doc:`sub_region:sub_region</tables/code_tables/sub_region/sub_region>`","Country / regional sea"
"application_area","int[]",":doc:`application_area:application_area</tables/code_tables/application_area/application_area>`","WMO application area(s)"
"observing_programme","int[]",":doc:`observing_programme:observing_programme</tables/code_tables/observing_programme/observing_programme>`","Observing programme, e.g. VOS"
"report_type","int",":doc:`report_type:type</tables/code_tables/report_type/report_type>`","e.g. SYNOP, TEMP, CLIMAT, etc"
"station_name","varchar","","e.g. GRUAN station name, ship name, site name etc"
"station_type","int",":doc:`station_type:type</tables/code_tables/station_type/station_type>`","Type of station, e.g. land station, sea station etc"
"platform_type","int",":doc:`platform_type:type</tables/code_tables/platform_type/platform_type>`","Structure upon which sensor is mounted, e.g. ship, drifting buoy, tower etc"
"platform_sub_type","int",":doc:`platform_sub_type:sub_type</tables/code_tables/platform_sub_type/platform_sub_type>`","Sub-type for platform, e.g. 3m discuss buoy"
"primary_station_id","varchar",":doc:`station_configuration:primary_id</tables/data_tables/station_configuration/station_configuration>`","Primary station identifier, e.g. WIGOS ID"
"station_record_number","int",":doc:`station_configuration:record_number</tables/data_tables/station_configuration/station_configuration>`","Together with primary_station_id this forms a link to the station configuration table."
"primary_station_id_scheme","int",":doc:`id_scheme:scheme</tables/code_tables/id_scheme/id_scheme>`","Scheme used for station ID"
"longitude","numeric","","Longitude of station, -180.0 to 180.0 (or other as defined by station_crs)"
"latitude","numeric","","Latitude of station, -90 to 90 (or other as defined by station_crs)"
"location_accuracy","numeric","","Accuracy to which station location recorded (radius in km)"
"location_method","int",":doc:`location_method:method</tables/code_tables/location_method/location_method>`","Method by which location determined"
"location_quality","int",":doc:`location_quality:quality</tables/code_tables/location_quality/location_quality>`","Quality flag for station location"
"crs","int",":doc:`crs:crs</tables/code_tables/crs/crs>`","Coordinate reference scheme for station location"
"station_speed","numeric","","Station speed over ground if mobile (m/s)"
"station_course","numeric","","Station course over ground if mobile (degree true)"
"station_heading","numeric","","Station heading if mobile"
"height_of_station_above_local_ground","numeric","","Height of station above local ground (m)"
"height_of_station_above_sea_level","numeric","","Height of station above mean sea level (m), negative values for below sea level."
"height_of_station_above_sea_level_accuracy","numeric","","Accuracy to which height of station known (m)"
"sea_level_datum","int",":doc:`sea_level_datum:datum</tables/code_tables/sea_level_datum/sea_level_datum>`","Datum used for sea level"
"report_meaning_of_timestamp","int",":doc:`meaning_of_time_stamp:meaning</tables/code_tables/meaning_of_time_stamp/meaning_of_time_stamp>`","Report time - beginning, middle or end of reporting period"
"report_timestamp","timestamp with timezone","","e.g. 1991-01-01 12:00:0.0+0"
"report_duration","int",":doc:`duration:duration</tables/code_tables/duration/duration>`","Report duration"
"report_time_accuracy","numeric","","Precision to which time was recorded (s)"
"report_time_quality","int",":doc:`time_quality:quality</tables/code_tables/time_quality/time_quality>`","Quality flag for report_timestamp "
"report_time_reference","int",":doc:`time_reference:reference</tables/code_tables/time_reference/time_reference>`","Reference Time (e.g. referenced to time server, atomic clock, radio clock etc)"
"profile_id","varchar",":doc:`profile_configuration:profile_id</tables/data_tables/profile_configuration/profile_configuration>`","Information on profile (atmospheric / oceanographic) configuration. Set to Record ID for profile data or missing (NULL) otherwise."
"events_at_station","int[]*",":doc:`events_at_station:event</tables/code_tables/events_at_station/events_at_station>`","e.g. ship hove to, crop burning etc."
"report_quality","int ",":doc:`quality_flag:flag</tables/code_tables/quality_flag/quality_flag>`","Overall quality of report"
"duplicate_status","int",":doc:`duplicate_status:status</tables/code_tables/duplicate_status/duplicate_status>`","E.g. no duplicates, best duplicate, duplicate, not checked."
"duplicates","varchar[]*",":doc:`header_table:report_id</tables/data_tables/header_table/header_table>`","Array of report_id's for duplicates"
"record_timestamp","timestamp with timezone","","Timestamp of revision for this record"
"history","varchar "," ","Sequence of processing steps. Free text with timestamp 1 : history 1; timestamp 2 : history 2 etc. "
"processing_level","int",":doc:`report_processing_level:level</tables/code_tables/report_processing_level/report_processing_level>`","Level of processing applied to this report"
"processing_codes","int[]*",":doc:`report_processing_codes:code</tables/code_tables/report_processing_codes/report_processing_codes>`","Processing applied to this report"
"source_id","varchar",":doc:`source_configuration:source_id</tables/data_tables/source_configuration/source_configuration>`","Original source of data, link to external table"
"source_record_id","varchar","","Record ID in source data, e.g. ID of event from GRUAN meta database"
