"element_name","kind","external_table","description"
"organisation_id","varchar (pk)"," ","unique ID for organisation"
"parent_organisation","varchar",":doc:`organisation:organisation_id</tables/data_tables/organisation/organisation>`","Link to parent organisation (or NA/NULL or none)"
"name","varchar"," ","Name of organisation"
"abbreviation","varchar"," ","Abbreviated name (or NA/NULL)"
"address","varchar"," ","Road / building name"
"city","varchar"," ","City"
"admin_area","varchar"," ","County or admin region"
"region","int",":doc:`region:region</tables/code_tables/region/region>`","WMO Region"
"country","int",":doc:`sub_region:sub_region</tables/code_tables/sub_region/sub_region>`","Country"
"postal_code","varchar"," ","Postal / zip code"
"telephone","varchar"," ","Primary telephone number of organisation"
"url","varchar"," ","Link to organisation website"
"email","varchar"," ","Primary email contact for website"
