"element_name","type","external_table","description"
"primary_id","varchar (pk)","","Primary (e.g. WMO) ID for station"
"primary_id_scheme","int",":doc:`id_scheme:scheme</tables/code_tables/id_scheme/id_scheme>`","Scheme used for primary ID"
"record_number","int (pk)","","Record number for this station entry"
"secondary_id","varchar[]*","","Secondary (e.g. local) ID for station"
"secondary_id_scheme","int[]*",":doc:`id_scheme:scheme</tables/code_tables/id_scheme/id_scheme>`","Scheme used for secondary ID"
"station_name","varchar","","Name of station (e.g. Tateno)"
"station_abbreviation","varchar","","Abbreviation of station name (e.g. TAT)"
"alternative_name","varchar[]*",""," Alternative name for station"
"station_crs","int",":doc:`crs:crs</tables/code_tables/crs/crs>`","coordinate reference system used to report stations location"
"longitude","numeric","","Report position for station if stationary or NULL if mobile. If more than one estimate record best here and additional values using optional fields."
"latitude","numeric"," ","Report position for station if stationary or NULL if mobile"
"local_gravity","numeric"," ","Local gravity at station location (units ms-2)"
"start_date","timestamp","","Date that the station first started reporting in this configuration"
"end_date","timestamp","","Last data the station reported in this configuration"
"station_type","int",":doc:`station_type:type</tables/code_tables/station_type/station_type>`","Type of reporting station"
"platform_type","int",":doc:`platform_type:type</tables/code_tables/platform_type/platform_type>`","Generic type of observing platform"
"platform_sub_type","int",":doc:`platform_sub_type:sub_type</tables/code_tables/platform_sub_type/platform_sub_type>`","Specific type of observing platform"
"operating_institute","varchar",":doc:`organisation:organisation_id</tables/data_tables/organisation/organisation>`","Institute operating the station (e.g. National Oceanography Centre)"
"operating_territory","int",":doc:`sub_region:sub_region</tables/code_tables/sub_region/sub_region>`","Sub-region where station is located or country of registry for mobile station"
"city","varchar"," ","Nearest city / town to station location"
"contact","varchar[]",":doc:`contact:contact_id</tables/data_tables/contact/contact>`","Contact for station"
"role","int[]",":doc:`role:role</tables/code_tables/role/role>`","Role of contact"
"observing_frequency","int",":doc:`observing_frequency:frequency</tables/code_tables/observing_frequency/observing_frequency>`","Typical frequency of observations for this station (reports per day). If irregular use reporting_time."
"reporting_time","int[]"," ","Reporting hour(s) if non-standard / irregular hours used"
"telecommunication_method","int[]",":doc:`communication_method:method</tables/code_tables/communication_method/communication_method>`","Method used to report observations"
"station_automation","int",":doc:`automation_status:automation</tables/code_tables/automation_status/automation_status>`","Whether station is automated, manual or mixed"
"measuring_system_model","varchar[]","","Station / AWS model type"
"measuring_system_id","varchar[]","","ID or serial number of measuring system"
"observed_variables","int[]",":doc:`observed_variable:variable</tables/code_tables/observed_variable/observed_variable>`","array indicating which variables are observed by this station"
"comment","varchar","","Any other comments / footnotes"
"optional_data","int",":doc:`data_present:flag</tables/code_tables/data_present/data_present>`","Flag indicating availability of additional data"
"bbox_min_longitude","numeric","","Bounding box for observation from this station, valid range given by CRS"
"bbox_max_longitude","numeric","","Bounding box for observation from this station, valid range given by CRS"
"bbox_min_latitude","numeric","","Bounding box for observation from this station, valid range given by CRS"
"bbox_max_latitude","numeric","","Bounding box for observation from this station, valid range given by CR"
"metadata_contact","varchar[]","",":doc:`contact:contact_id</tables/data_tables/contact/contact>`      contact for responsible for maintaing this record"
"metadata_contact_role","int[]",":doc:`role:role</tables/code_tables/role/role>`","role of metadata_contact"
